provincia,DIA,SEMANA,vendedor,gestor_servicio,Cod Empresa,RazonSocial,Latitud,Longitud
DISTRITO NACIONAL,VIERNES,2,EDUARD CEBALLOS,JOSE,KARAKA,"CADENAS CCN, GARRRIDO, OLE, SIRENA",,
DISTRITO NACIONAL,VIERNES,2,EDUARD CEBALLOS,JOSE,distribuidora2653,DETALLES HOME DECOR,"18,47743","-69,96151"
DISTRITO NACIONAL,VIERNES,2,EDUARD CEBALLOS,JOSE,karaka673,DETALLES HOME DECOR,"18,47743","-69,96151"
DISTRITO NACIONAL,JUEVES,3,EDUARD CEBALLOS,MANUEL,distribuidora189,DESC. LA FRAGANCIA(LOS ALCARRIZOS),"18,52353","-70,03417"
DISTRITO NACIONAL,MARTES,3,EDUARD CEBALLOS,MANUEL,distribuidora1349,D TITO COMERCIAL,"18,48706","-69,89851"
DISTRITO NACIONAL,MARTES,3,EDUARD CEBALLOS,MANUEL,karaka1088,D TITO COMERCIAL,"18,48706","-69,89851"
DISTRITO NACIONAL,MARTES,4,EDUARD CEBALLOS,DIOGENES,distribuidora969,COMERCIAL TEJEDA MOREL,"18,48738","-69,89683"
DISTRITO NACIONAL,MARTES,4,EDUARD CEBALLOS,DIOGENES,karaka958,COMERCIAL TEJEDA MOREL,"18,48738","-69,89683"
DISTRITO NACIONAL,MARTES,2,EDUARD CEBALLOS,DIOGENES,distribuidora969,COMERCIAL TEJEDA MOREL,"18,48738","-69,89683"
DISTRITO NACIONAL,MARTES,2,EDUARD CEBALLOS,DIOGENES,karaka958,COMERCIAL TEJEDA MOREL,"18,48738","-69,89683"
DISTRITO NACIONAL,MIERCOLES,2,EDUARD CEBALLOS,JOSE,distribuidora2998,COMERCIAL MANUELA DIEZ,"18,48727","-69,89751"
DISTRITO NACIONAL,MIERCOLES,2,EDUARD CEBALLOS,JOSE,karaka1164,COMERCIAL MANUELA DIEZ,"18,48727","-69,89751"
DISTRITO NACIONAL,,,EDUARD CEBALLOS,RYAN,karaka564,COMERCIAL LOS PINOS,"18,48691","-69,89934"
DISTRITO NACIONAL,,,EDUARD CEBALLOS,JOSE,karaka1044,COMERCIAL LA BENDICION DEL 20 Y 10 ( LOS RIOS),"18,48745","-69,96724"
SANTO DOMINGO,,,EDUARD CEBALLOS,JOSE,karaka1035,COMERCIAL LA BENDICION DEL 20 Y 10  (GUARICANO),0,0
SANTO DOMINGO,,,EDUARD CEBALLOS,JOSE,karaka1033,COMERCIAL LA BENDICION DEL 20 Y 10  ( CARR. MELLA),"18,50328","-69,85985"
DISTRITO NACIONAL,,,EDUARD CEBALLOS,JOSE,karaka1084,COMERCIAL LA BENDICION DEL 20 Y 10,"18,50553","-69,89729"
DISTRITO NACIONAL,LUNES,4,EDUARD CEBALLOS,JOSE,distribuidora1972,COMERCIAL DE LEON,"18,50208","-69,84723"
DISTRITO NACIONAL,,,EDUARD CEBALLOS,RYAN,karaka82,CENTRO CUESTA NACIONAL,"18,46261","-69,96688"
DISTRITO NACIONAL,MARTES,4,EDUARD CEBALLOS,DIOGENES,distribuidora2349,CASTRO IMPORT,"18,49811","-69,90653"
DISTRITO NACIONAL,MARTES,4,EDUARD CEBALLOS,DIOGENES,karaka1187,CASTRO IMPORT,"18,49811","-69,90653"
DISTRITO NACIONAL,MARTES,2,EDUARD CEBALLOS,RYAN,karaka15,CASA CONSUELO,"18,4834","-69,89512"
DISTRITO NACIONAL,JUEVES,3,EDUARD CEBALLOS,RYAN,karaka773,CAM,"18,48231","-69,90908"
DISTRITO NACIONAL,,,EDUARD CEBALLOS,RYAN,karaka157,C.D.H. CARREFOUR,"18,48941","-69,97804"
DISTRITO NACIONAL,JUEVES,1,EDUARD CEBALLOS,JOSE,karaka713,"BENIGNO ZAPATERO, SRL","18,45933","-69,96988"
DISTRITO NACIONAL,JUEVES,3,EDUARD CEBALLOS,JOSE,karaka587,"ASTUR, SAS","18,48598","-69,9129"
LA ALTAGRACIA,,,EDUARD CEBALLOS,RYAN,karaka1323,ALMACENES UNIDOS S.A.S.(BAVARO),"18,59547","-68,38991"
DISTRITO NACIONAL,LUNES,4,EDUARD CEBALLOS,RYAN,karaka641,ALMACENES UNIDOS S.A.S.,"18,45644","-69,93705"
DISTRITO NACIONAL,LUNES,4,EDUARD CEBALLOS,RYAN,karaka398,ALMACENES UNIDOS,"18,45641","-69,93713"
ESPAILLAT,,,EDUARD CEBALLOS,RYAN,distribuidora753,ALMACENES POLANCO,"19,39471","-70,52815"
ESPAILLAT,,,EDUARD CEBALLOS,RYAN,karaka1037,ALMACENES POLANCO,"19,39471","-70,52815"
DISTRITO NACIONAL,,,EDUARD CEBALLOS,JOSE,karaka499,ALMACENES LA FERIA,"18,50356","-69,90673"
DISTRITO NACIONAL,JUEVES,1,EDUARD CEBALLOS,RYAN,karaka110,ALMACENES EL CANAL,"18,46628","-69,9681"
DISTRITO NACIONAL,JUEVES,1,EDUARD CEBALLOS,JOSE,distribuidora665,ALMACENES EL CAÑON,"18,47859","-69,96938"
SANTO DOMINGO,JUEVES,1,EDUARD CEBALLOS,JOSE,karaka1028,ALMACENES EL CAÑON,"18,47859","-69,96938"
DISTRITO NACIONAL,,,EDUARD CEBALLOS,RYAN,karaka341,ALCENTRO SAS,"18,47198","-69,89397"
DISTRITO NACIONAL,,,EDUARD CEBALLOS,DIOGENES,karaka990,ACCESORIOS INKA SRL,"18,48826","-69,89484"
DISTRITO NACIONAL,,,EDUARD CEBALLOS,JOSE,karaka1134,ACCESORIOS INKA (SAMBIL),"18,48223","-69,91157"
DISTRITO NACIONAL,JUEVES,2,EDUARD CEBALLOS,JOSE,karaka1085,ACCESORIOS INKA,"18,50199","-69,96317"
